"runner_name","runner_time","runner_place","runner_school","runner_points"
"Aaron Bienenfeld","29:59.9","1","Cincinnati [SR]","1"
"Euan Makepeace","30:05.5","2","Butler [SR]","2"
"Oliver Hoare","30:14.2","3","Wisconsin [SR]","3"
"Ben Veatch","30:14.6","4","Indiana [JR]","4"
"Jaret Carpenter","30:15.3","5","Purdue [SR]","5"
"Morgan Beadlescomb","30:16.2","6","Michigan State [JR]","6"
"Kyle Mau","30:18.4","7","Indiana [SR]","7"
"Dylan Jacobs","30:20.5","8","Notre Dame [FR]","8"
"Isaac Harding","30:23.1","9","Michigan [JR]","9"
"Yared Nuguse","30:28.9","10","Notre Dame [JR]","10"
"Devin Meyrer","30:30.6","11","Michigan [JR]","11"
"Arjun Jha","30:31.7","12","Indiana [SO]","12"
"Brody Smith","30:38.2","13","Purdue [JR]","13"
"Shuaib Aljabaly","30:42.9","14","Wisconsin [SO]","14"
"Andrew Alexander","30:44.1","15","Notre Dame [JR]","15"
"Curt Eckstein","30:44.6","16","Purdue [JR]","16"
"Jack Aho","30:45.5","17","Michigan [JR]","17"
"Jordy Hewitt","30:46.4","18","Michigan [SR]","18"
"Marc Migliozzi","30:46.4","19","Akron [SR]","19"
"Seth Hirsch","30:47.8","20","Wisconsin [JR]","20"
"Tyler Bowling","30:49.4","21","Purdue [SO]","21"
"Simon Bedard","30:52.3","22","Butler [JR]","22"
"Bryce Millar","30:53.0","23","Indiana [SR]","23"
"Bailey McIntire","30:53.1","24","Purdue [SO]","24"
"Kevin Salvano","30:55.7","25","Notre Dame [JR]","25"
"Ben Eidenschink","30:56.6","26","Wisconsin [SR]","26"
"Matthew Carmody","30:59.4","27","Notre Dame [FR]","27"
"Brendan Fraser","31:00.4","28","Notre Dame [SO]","28"
"Danny Kilrea","31:02.5","29","Notre Dame [SO]","29"
"Fraser Wilson","31:03.4","30","Michigan State [FR]","30"
"Joost Plaetinck","31:04.6","31","Michigan [JR]","31"
"Josh Park","31:05.7","32","Ohio [JR]","32"
"Jackson Sharp","31:06.4","33","Wisconsin [FR]","33"
"Jacob Lee","31:15.3","34","Michigan [JR]","34"
"Jackson Martin","31:16.2","35","Butler [SO]","35"
"Nathan Dunn","31:16.4","36","Wright State [SR]","36"
"Kyle Griffith","31:18.2","37","Purdue [SO]","37"
"Tevin Brown","31:21.8","38","Ohio State [SR]","38"
"Nick Stricklen","31:22.3","39","Akron [SR]","39"
"Matthew Thomas","31:22.6","40","Michigan State [SR]","40"
"Reese Jordan","31:23.3","41","Indiana [SO]","41"
"John Petruno","31:29.6","42","Michigan State [SO]","42"
"Zack Snider","31:29.7","43","Wisconsin [SR]","43"
"Mark Beckmann","31:30.8","44","Central Michigan [SR]","44"
"Connor Goetz","31:32.3","45","Oakland [SO]","45"
"Corey Thornton","31:32.6","46","Milwaukee [JR]","46"
"Dustin Horter","31:33.2","47","Indiana [SO]","47"
"Matthew Schadler","31:33.7","48","Indiana [FR]","48"
"Andy Payne","31:34.5","49","Eastern Michigan [SO]","49"
"Clark Otte","31:38.1","50","Butler [JR]","50"
"Zachary Sleeman","31:39.1","51","Central Michigan [SR]","51"
"Abdifetah Ahmed","31:40.0","52","Michigan State [FR]","52"
"Winter Romeyn","31:40.6","53","Michigan State [SR]","53"
"Jacob Harris","31:48.2","54","Toledo [FR]","54"
"Eric Hoffman","31:50.4","55","IUPUI [SO]","55"
"Daniel Pederson","31:52.4","56","Marquette [SR]","56"
"Kyle Hibinger","31:52.7","57","Bowling Green [SO]","57"
"Ryan Burd","31:54.3","58","Marquette [SR]","58"
"Baldvin Magnusson","31:54.6","59","Eastern Michigan [SO]","59"
"Nick Foster","31:54.7","60","Michigan [FR]","60"
"Giovanni Copploe","31:54.7","61","Ohio State [FR]","61"
"Alexander Bruno","31:56.2","62","Valparaiso [SR]","62"
"Joe Riordan","31:56.5","63","Michigan State [JR]","63"
"Andre Bollam-Godbo","32:00.6","64","Akron [JR]","64"
"Kevin Lawson","32:02.6","65","Dayton [JR]","65"
"Owen Day","32:04.6","66","Eastern Michigan [SO]","66"
"Anthony Camerieri","32:06.0","67","Miami (Ohio) [SO]","67"
"Luke Landis","32:06.5","68","Ohio State [SR]","68"
"Conor Naughton","32:06.7","69","Central Michigan [JR]","69"
"Riad Rababeh","32:08.1","70","Central Michigan [SO]","70"
"Alexander Ratkovich","32:08.4","71","IUPUI [SO]","71"
"David Coffey","32:10.4","72","Miami (Ohio) [SR]","72"
"Alex Stamper","32:11.0","73","Kent State [SO]",""
"Drew Johnson","32:11.3","74","Kent State [SO]",""
"Toni Banos","32:12.5","75","Cincinnati [SO]","73"
"Jack Meijer","32:13.1","76","Wisconsin [FR]","74"
"Ryan Sharkey","32:15.5","77","Miami (Ohio) [SR]","75"
"Blake Selm","32:16.2","78","Purdue [FR]","76"
"Obsaa Feda","32:16.7","79","Miami (Ohio) [FR]","77"
"Jacob Ondash","32:17.9","80","Akron [JR]","78"
"Zach Shultz","32:18.8","81","Ohio State [FR]","79"
"Michael Zedan","32:20.5","82","Ohio State [SO]","80"
"Connor Wuori","32:22.5","83","Oakland [SR]","81"
"Dismas Koech","32:25.4","84","Toledo [SR]","82"
"Peter Hayden","32:26.0","85","Ohio State [JR]","83"
"Ben Savage","32:28.6","86","IUPUI [JR]","84"
"Trevor Wenzel","32:29.2","87","Milwaukee [SO]","85"
"Chris Devaney","32:30.4","88","Eastern Michigan [FR]","86"
"Austin Wicker","32:31.0","89","Eastern Michigan [SR]","87"
"Matthew Wigelsworth","32:31.8","90","Butler [SR]","88"
"Brad Eagan","32:32.0","91","Marquette [SR]","89"
"Alex Tam","32:34.9","92","Miami (Ohio) [FR]","90"
