runner_place,runner_name,runner_time,runner_points,runner_school
1,Edwin Kurgat,30:32.7,1,Iowa State [SR]
2,Joe Klecker,30:37.1,2,Colorado [SR]
3,Conner Mantz,30:40.0,3,BYU [SO]
4,Peter Seufer,30:40.1,4,Virginia Tech [SR]
5,Vincent Kiprop,30:43.5,5,Alabama [SR]
6,Cooper Teare,30:49.2,6,Oregon [JR]
7,John Dressel,30:52.2,7,Colorado [SR]
8,Amon Kemboi,30:55.9,,Campbell [JR]
9,Gilbert Kigen,30:57.2,8,Alabama [SR]
10,Jaret Carpenter,30:58.7,9,Purdue [SR]
11,Patrick Dever,30:59.4,10,Tulsa [JR]
12,Kyle Mau,31:00.0,11,Indiana [SR]
13,Peter Lynch,31:04.3,12,Tulsa [JR]
14,Christian Allen,31:04.9,,Weber State [SO]
15,Euan Makepeace,31:04.9,,Butler [SR]
16,Devin Meyrer,31:05.2,13,Michigan [JR]
17,Daniel Carney,31:05.7,14,BYU [SR]
18,Oliver Hoare,31:08.2,15,Wisconsin [SR]
19,Athanas Kioko,31:09.2,,Campbell [JR]
20,Waleed Suliman,31:09.6,16,Ole Miss [JR]
21,Jacob Heslington,31:10.5,17,BYU [SR]
22,Drew Bosley,31:10.8,18,Northern Arizona [FR]
23,Morgan Beadlescomb,31:10.9,,Michigan State [JR]
24,Curt Eckstein,31:11.2,19,Purdue [JR]
25,Alex Ostberg,31:11.6,20,Stanford [SR]
26,Johnjack Millar,31:12.2,21,Iona [JR]
27,Sam Worley,31:12.4,22,Texas [JR]
28,Kieran Tuntivate,31:12.7,23,Harvard [SR]
29,Dylan Jacobs,31:12.9,24,Notre Dame [FR]
30,Miler Haller,31:12.9,25,Boise State [SR]
31,Caleb Webb,31:13.5,26,Portland [SR]
32,Ryan Adams,31:13.9,27,Furman [SR]
33,Abdihamid Nur,31:14.0,28,Northern Arizona [FR]
34,Alek Parsons,31:14.4,29,Stanford [JR]
35,Steven Fahy,31:15.0,30,Stanford [SR]
36,Justin Domangue,31:17.9,,UT-Arlington [SR]
37,Geordie Beamish,31:18.3,31,Northern Arizona [SR]
38,Alec Hornecker,31:18.5,32,Colorado [JR]
39,Ian Shanklin,31:19.3,33,NC State [JR]
40,Jack Aho,31:20.8,34,Michigan [JR]
41,Ehab El-Sandali,31:21.2,35,Iona [JR]
42,Brandon Garnica,31:21.3,36,BYU [SO]
43,Chad Johnson,31:21.6,37,Iowa State [SO]
44,Isaac Harding,31:23.9,38,Michigan [JR]
45,Matt Owens,31:25.4,39,BYU [SO]
46,Brodey Hasty,31:28.7,40,Northern Arizona [FR]
47,Yared Nuguse,31:28.7,41,Notre Dame [JR]
48,Colin Baker,31:29.5,42,Harvard [FR]
49,Emmanuel Roudolff-Levisse,31:29.9,43,Portland [SR]
50,Danny Kilrea,31:30.8,44,Notre Dame [SO]
51,Mitchell Day,31:31.2,45,Iowa State [JR]
