runner_name,runner_place,runner_time,runner_score,runner_school
Alicia Monson,1,19:59.9,1,Wisconsin [SR]
Annie Fuller,2,20:01.1,2,Michigan State [SR]
Amy Davis,3,20:07.4,3,Wisconsin [SR]
Ericka Vanderlende,4,20:08.1,4,Michigan [FR]
Anna Rohrer,5,20:11.4,5,Notre Dame [SR]
Bailey Hertenstein,6,20:19.9,6,Indiana [SO]
Jenna Magness,7,20:25.7,7,Michigan State [SO]
Lynsie Gram,8,20:30.6,8,Michigan State [SR]
Abby Nichols,9,20:32.1,9,Ohio State [JR]
Natalie Cizmas,10,20:33.3,10,Eastern Michigan [SR]
Anna Kostarellis,11,20:33.8,11,Xavier (Ohio) [JR]
Sarah Schmitt,12,20:38.8,12,Indiana [FR]
Jeralyn Poe,13,20:44.8,13,Michigan State [SR]
Anna West,14,20:46.0,14,Michigan [SR]
Kathryn House,15,20:47.2,15,Michigan [JR]
Jacqueline Gaughan,16,20:49.5,16,Notre Dame [SO]
Emily Royston,17,20:50.4,17,Butler [JR]
Micaela Degenero,18,20:51.0,18,Michigan [JR]
Sarah Kettel,19,20:51.6,19,Michigan State [JR]
Maggie Schneider,20,20:52.9,20,Oakland [JR]
Lainey Studebaker,21,20:54.8,21,Ohio State [SR]
Julia Rizk,22,20:55.4,22,Ohio State [SR]
Emma Sloan,23,20:56.1,23,Michigan [SR]
Meg Swietlik,24,20:57.6,24,Milwaukee [JR]
Maddy Trevisan,25,20:58.5,25,Michigan [JR]
Alissa Niggemann,26,21:00.5,26,Wisconsin [JR]
Megan Slamkowski,27,21:01.3,27,Purdue [JR]
Mackenzie Andrews,28,21:02.3,28,Akron [SR]
Maggie Farrell,29,21:02.8,29,Michigan State [JR]
Meagan Hathaway,30,21:03.8,30,Purdue [FR]
Lucinda Crouch,31,21:06.1,31,Wisconsin [SO]
Lindsey Rudden,32,21:07.0,32,Michigan State [JR]
Allie Guagenti,33,21:09.6,33,Ohio State [FR]
Angelina Ellis,34,21:11.2,34,Butler [JR]
Camille Davre,35,21:12.1,35,Michigan [SO]
Kelsey Harris,36,21:12.5,36,Indiana [SR]
Rachel Levy,37,21:13.9,37,Oakland [SR]
Maddy Denner,38,21:14.7,38,Notre Dame [FR]
Peyton Sippy,39,21:15.0,39,Wisconsin [FR]
Emma Bryant,40,21:17.0,40,Miami (Ohio) [JR]
Shelby Nolan,41,21:18.5,41,Wright State [SR]
Jocelyn Long,42,21:21.8,42,Notre Dame [FR]
Erin Archibeck,43,21:23.3,43,Notre Dame [JR]
Emily Sreenan,44,21:25.2,44,Dayton [SO]
Lauren Kemper,45,21:25.6,45,Cincinnati [FR]
Alexa Westley,46,21:26.9,46,Wisconsin [FR]
Emily Smith,47,21:29.0,47,Eastern Michigan [SR]
S. Brooke Moore,48,21:29.9,48,Indiana State [SR]
Kalee Soehnlen,49,21:31.8,49,Ohio State [JR]
Katelyn Murphy,50,21:34.5,50,IUPUI [JR]
Devon Leahy,51,21:34.6,51,Ohio State [JR]
Ellie Leather,52,21:34.8,52,Cincinnati [JR]
Annasophia Keller,53,21:35.2,53,Notre Dame [JR]
Abi Little,54,21:38.2,54,Indiana [FR]
Maddie McLain,55,21:39.0,55,Butler [SO]
Petronela Simiuc,56,21:39.3,56,Toledo [SR]
Kelly Wilker,57,21:39.6,57,Dayton [JR]
Camille Hines,58,21:40.2,58,Butler [JR]
