runner_name,runner_place,runner_time,runner_points,runner_school
Weini Kelati,1,19:47.5,1,New Mexico [JR]
Alicia Monson,2,19:57.1,2,Wisconsin [SR]
Katie Izzo,3,19:59.3,3,Arkansas [SR]
Taylor Werner,4,20:11.1,4,Arkansas [SR]
Courtney Wayment,5,20:16.1,5,BYU [SR]
Erica Birk,6,20:16.1,6,BYU [SR]
Whittni Orton,7,20:17.0,7,BYU [JR]
Ella Donaghu,8,20:17.9,8,Stanford [JR]
Ednah Kurgat,9,20:18.4,9,New Mexico [SR]
Elly Henes,10,20:20.7,10,NC State [SR]
Jessica Lawson,11,20:24.6,11,Stanford [JR]
Melany Smart,12,20:24.8,12,Washington [FR]
Savannah Carnahan,13,20:25.1,13,Furman [SR]
Joyce Kimeli,14,20:26.2,,Auburn [JR]
Cailie Logue,15,20:26.8,,Iowa State [JR]
Molly Born,16,20:28.2,,Oklahoma State [SO]
Anna Rohrer,17,20:28.3,14,Notre Dame [SR]
Taylor Somers,18,20:30.0,,Oklahoma State [JR]
Aoibhe Richardson,19,20:30.1,,San Francisco [JR]
Gabrielle Jennings,20,20:30.9,15,Furman [SR]
Devin Clark,21,20:32.2,16,Arkansas [SR]
Kelsey Chmiel,22,20:32.5,17,NC State [FR]
Hannah Steelman,23,20:32.6,,Wofford [JR]
Egle Morenaite,24,20:32.6,,Iona [JR]
Ericka VanderLende,25,20:32.8,18,Michigan [FR]
Amy Davis,26,20:34.7,19,Wisconsin [SR]
Fiona O'Keeffe,27,20:36.8,20,Stanford [SR]
Carina Viljoen,28,20:39.8,21,Arkansas [SR]
Lydia Olivere,29,20:39.9,22,Villanova [SO]
Camila Noe,30,20:40.0,,Montana State [FR]
Bailey Hertenstein,31,20:40.1,23,Indiana [SO]
Jeralyn Poe,32,20:40.3,24,Michigan State [SR]
Katie Rainsberger,33,20:41.6,25,Washington [SR]
Annie Fuller,34,20:42.4,26,Michigan State [SR]
Hannah Nuttall,35,20:42.9,27,New Mexico [JR]
Maria Mettler,36,20:43.1,28,Air Force [JR]
Christina Rice,37,20:44.3,,UCLA [JR]
Sage Hurta,38,20:44.3,29,Colorado [SR]
Mahala Norris,39,20:46.2,30,Air Force [JR]
Jessica Drop,40,20:48.5,,Georgia [SR]
Abby Nichols,41,20:50.2,31,Ohio State [JR]
Mikayla Malaspina,42,20:52.9,32,Northern Arizona [SR]
Holly Bent,43,20:54.0,33,Colorado [SO]
Lotte Black,44,20:54.0,,Rhode Island [JR]
Samantha Drop,45,20:54.3,,Georgia [JR]
Jenna Magness,46,20:54.6,34,Michigan State [SO]
Winny Koskei,47,20:55.1,,Wichita State [JR]
Paige Hofstad,48,20:55.7,,North Carolina [JR]
Lynsie Gram,49,20:56.4,35,Michigan State [SR]
Ashley Tutt,50,20:57.5,,Northern Illinois [JR]
Isabelle Kennedy,51,20:58.6,36,Boston College [SR]
Alissa Niggemann,52,20:58.7,37,Wisconsin [JR]
Abi Archer,53,20:58.7,38,Stanford [FR]
Dominique Clairmonte,54,20:59.1,39,NC State [JR]
Adva Cohen,55,20:59.2,40,New Mexico [JR]
Olivia Hoj,56,20:59.4,41,BYU [SR]
Anna Pataki,57,21:00.2,,Portland [SO]
Sarah Schmitt,58,21:00.3,42,Indiana [FR]
Ivine Chemutai,59,21:00.7,,Louisville [SO]
Anna Camp,60,21:01.3,43,BYU [JR]
Lindsey Blanks,61,21:01.4,44,Air Force [SR]
Jodie Judd,62,21:01.5,45,Florida State [JR]
Julia Heymach,63,21:01.9,46,Stanford [JR]
Alison Pray,64,21:02.0,,Southern Utah [JR]
Allison McGrath,65,21:02.3,47,Illinois [JR]
Anna Kostarellis,66,21:02.5,,Xavier (Ohio) [JR]
Caitlin Klopfer,67,21:02.9,48,Tulsa [JR]
Mariah Howlett,68,21:02.9,49,NC State [FR]
Maudie Skyring,69,21:04.5,50,Florida State [JR]
Kelsie Warren,70,21:04.7,,Texas A&M [SR]
Mikayla Gallagher,71,21:05.0,51,Air Force [SO]
Lauren Gregory,72,21:05.0,52,Arkansas [JR]
Alison Willingmyre,73,21:05.6,53,Penn State [JR]
Poppy Tank,74,21:05.8,54,Utah [JR]
Katie Wasserman,75,21:06.1,55,Columbia [SR]
Rebecca Clark,76,21:06.6,56,Florida State [FR]
Maddy Reed,77,21:06.7,57,Arkansas [SR]
Kristlin Gear,78,21:06.9,58,Furman [JR]
Taylor Chiotti,79,21:07.0,59,Oregon [SO]
Kathryn Munks,80,21:07.2,60,Penn State [SR]
Maddy Denner,81,21:07.7,61,Notre Dame [FR]
Jenny Sandoval,82,21:08.2,,San Jose St. [SR]
Yukino Parle,83,21:09.1,62,Boise State [SO]
Alexandra Hays,84,21:09.4,63,Columbia [JR]
Rachel McArthur,85,21:10.2,64,Colorado [JR]
Jessica Pascoe,86,21:10.4,,Florida [SR]
Grace Forbes,87,21:10.7,,Rice [FR]
Natalie Cizmas,88,21:11.8,,Eastern Michigan [SR]
Emma Grace Hurley,89,21:12.2,65,Furman [SR]
Gabrielle Orie,90,21:12.2,66,Cornell [JR]
Sara Freix,91,21:12.7,,Virginia Tech [SR]
Anna Elkin,92,21:13.0,67,Ole Miss [JR]
Madeline Perez,93,21:13.2,,Georgetown [SR]
Anna Juul,94,21:13.2,68,Harvard [JR]
Jordan Oakes,95,21:13.6,69,Stanford [JR]
Lucinda Crouch,96,21:14.5,70,Wisconsin [SO]
Micaela DeGenero,97,21:14.6,71,Michigan [JR]
Sarah Feeny,98,21:14.8,72,Utah [SR]
Hannah Reinhardt,99,21:15.3,,Albany [SR]
Annie Hill,100,21:16.2,73,Colorado [FR]
Elizabeth Funderburk,101,21:16.5,74,Florida State [SO]
Savannah Shaw,102,21:16.7,75,NC State [SO]
Lexie Thompson,103,21:16.8,,Weber State [SR]
Lauren White,104,21:16.9,76,Boston College [JR]
Anna West,105,21:17.0,77,Michigan [SR]
Hannah Butler,106,21:17.1,,Brown [JR]
Bella Williams,107,21:17.4,78,Utah [JR]
Miranda Myers,108,21:18.3,79,Northern Arizona [SR]
Anastaysia Davis,109,21:18.5,80,BYU [FR]
Abby Kohut-Jackson,110,21:18.8,81,Minnesota [JR]
Ann Campbell,111,21:19.4,82,Villanova [SR]
Addison Coggins,112,21:19.4,83,Florida State [JR]
Maggie Schneider,113,21:19.6,,Oakland [JR]
Lauren Ryan,114,21:20.0,84,Florida State [JR]
Shona McCulloch,115,21:20.3,85,Washington [SO]
Haley Herberg,116,21:20.7,86,Washington [SO]
Cara Woolnough,117,21:20.7,87,Utah [SO]
Lilli Burdon,118,21:21.1,88,Washington [SR]
Jacqueline Gaughan,119,21:21.9,89,Notre Dame [SO]
Melia Chittenden,120,21:23.4,,Princeton [JR]
Sarah Kettel,121,21:24.0,90,Michigan State [JR]
Gracelyn Larkin,122,21:24.6,91,New Mexico [FR]
Taryn O'Neill,123,21:24.8,92,Northern Arizona [SO]
Maxine Paholek,124,21:24.9,93,Boise State [SO]
Taylor Knibb,125,21:25.1,94,Cornell [SR]
Tabor Scholl,126,21:25.2,95,Colorado [SR]
Grace Brock,127,21:26.9,96,Boise State [FR]
Olivia Johnson,128,21:27.3,97,Boise State [SO]
Destiny Collins,129,21:27.9,98,Texas [SR]
Madison Marasco,130,21:27.9,99,Illinois [SO]
Nevada Mareno,131,21:28.3,100,NC State [SO]
Pipi Eitel,132,21:28.5,101,Northern Arizona [JR]
Bryn Morley,133,21:28.7,102,Northern Arizona [SO]
Emily Royston,134,21:29.1,,Butler [JR]
Amanda Gehrich,135,21:29.4,103,Oregon [SR]
Isabelle Brauer,136,21:29.6,104,Oregon [SR]
Maggie Farrell,137,21:29.7,105,Michigan State [JR]
Teri Brady,138,21:31.4,106,Air Force [SR]
Alexa Westley,139,21:32.5,107,Wisconsin [FR]
Skylar Boogerd,140,21:33.0,108,Ole Miss [FR]
Maggie Smith,141,21:33.2,109,Villanova [FR]
Sami Corman,142,21:34.1,,Georgetown [SO]
Olivia Markezich,143,21:35.2,110,Notre Dame [FR]
Danae Rivers,144,21:35.6,111,Penn State [JR]
Maddy Trevisan,145,21:35.9,112,Michigan [JR]
Jenna Kill,146,21:36.3,113,Air Force [SO]
Ylva Traxler,147,21:36.4,114,Ole Miss [SO]
Caroline Miller,148,21:36.6,115,Tulsa [SO]
Kathryn Gillespie,149,21:36.9,116,Texas [SR]
Emma Sloan,150,21:38.0,117,Michigan [SR]
Julia Paternain,151,21:38.5,118,Penn State [SO]
Ashley Barnes,152,21:38.5,119,Tulsa [SR]
Madeleine King,153,21:38.7,120,Ole Miss [JR]
Megan Mooney,154,21:38.8,121,Florida State [SR]
Arina Kleshchukova,155,21:42.0,,New Orleans [SO]
Peyton Sippy,156,21:42.1,122,Wisconsin [FR]
Linda Cheruiyot,157,21:42.4,,UTEP [SR]
Lainey Studebaker,158,21:42.7,123,Ohio State [SR]
Rebecca Craddock,159,21:43.1,124,Illinois [JR]
Sara Musselman,160,21:43.1,125,BYU [JR]
Mia Nahom,161,21:43.1,,Connecticut [JR]
Lara Hamilton,162,21:43.2,126,Boise State [SO]
Anna Oeser,163,21:44.9,127,Boston College [SO]
Camila David-Smith,164,21:45.0,128,Washington [SO]
Fian Sullivan Sweeney,165,21:45.1,129,Boston College [JR]
Emma Milburn,166,21:45.2,130,Illinois [SO]
Ashley Driscoll,167,21:45.4,,Texas A&M [SR]
Allie Guagenti,168,21:45.6,131,Ohio State [FR]
Maddie McHugh,169,21:45.7,132,Ole Miss [SR]
Lisa Vogelgesang,170,21:46.4,133,Ole Miss [SO]
Emma McClellan,171,21:47.6,134,Ole Miss [JR]
Anastasia Korzenowski,172,21:47.8,135,Minnesota [SO]
Kathryn House,173,21:47.9,136,Michigan [JR]
Julia Rizk,174,21:49.9,137,Ohio State [SR]
Sarah Werking,175,21:50.8,138,Minnesota [JR]
Grace Dwyer,176,21:51.5,139,Furman [SR]
Megan Ciasullo,177,21:52.1,140,Penn State [FR]
Jocelyn Long,178,21:52.1,141,Notre Dame [FR]
Abby Gray,179,21:52.9,142,Arkansas [JR]
Jenna Barker,180,21:53.0,143,Indiana [FR]
Kalee Soehnlen,181,21:53.6,144,Ohio State [JR]
Shannon Molvin,182,21:53.8,145,Northern Arizona [SR]
Sarah Flynn,183,21:54.2,146,Boston College [FR]
Jenny O'Bryan,184,21:54.3,147,Tulsa [JR]
Isabell Sagar,185,21:54.8,148,Harvard [FR]
Emma Wilson,186,21:55.2,149,Illinois [FR]
Abby Green,187,21:56.7,150,Indiana [FR]
Abi Little,188,21:57.1,151,Indiana [FR]
Karina Mann,189,21:58.1,152,Colorado [SR]
Swathi Samuel,190,21:59.0,153,Air Force [SR]
Emily Moyes,191,21:59.7,154,Boise State [JR]
Adrena Mazzei,192,22:00.5,155,Tulsa [SR]
Reagan Hausmann,193,22:00.6,156,Tulsa [SR]
Emily Acker,194,22:00.7,157,Columbia [SR]
Christina Aragon,195,22:01.4,158,Stanford [SR]
Kelsey Harris,196,22:04.0,159,Indiana [SR]
Erin Archibeck,197,22:04.2,160,Notre Dame [JR]
Zetta Mason,198,22:04.5,161,Minnesota [JR]
Madeline Vondra,199,22:04.6,162,Texas [JR]
Linnaea Kavulich,200,22:05.3,163,Columbia [SO]
Beth Ramos,201,22:05.6,164,Texas [FR]
Brynne Sumner,202,22:05.9,165,Villanova [FR]
Annasophia Keller,203,22:07.0,166,Notre Dame [JR]
Brooke Starn,204,22:07.1,167,Harvard [JR]
Suzanne Dannheim,205,22:07.4,,George Washington [SR]
Natalie Morris,206,22:07.5,168,Cornell [SO]
Kyleigh Spearing,207,22:08.2,169,Cornell [SR]
Juanita Johnson,208,22:08.8,170,New Mexico [SO]
Julia Zachgo,209,22:09.0,171,NC State [JR]
Devon Leahy,210,22:09.6,172,Ohio State [JR]
Claudine Blancaflor,211,22:10.2,173,Texas [JR]
Paige Duca,212,22:10.2,174,Boston College [SR]
Susan Ejore,213,22:10.7,175,Oregon [SR]
Jaycie Thomsen,214,22:10.9,176,Minnesota [SO]
Aneta Konieczek,215,22:12.7,177,Oregon [JR]
Madison Boreman,216,22:13.3,178,Colorado [JR]
Nicki Cast,217,22:14.6,179,Illinois [JR]
Trina Moreno,218,22:16.5,180,Utah [JR]
Mikaela Ramirez,219,22:17.7,181,Indiana [FR]
Clare O'Brien,220,22:19.2,182,Boise State [SR]
Olivia Howell,221,22:20.3,183,Illinois [FR]
Emma Christensen,222,22:22.4,184,Utah [JR]
Jordan Williams,223,22:23.2,185,Penn State [SO]
Sofia Camacho,224,22:24.5,186,Columbia [SO]
Caramia Mestler,225,22:26.5,187,Oregon [SO]
Lindsey Greenlund,226,22:27.5,188,Minnesota [JR]
Alexandra Harris,227,22:29.5,189,New Mexico [SO]
Ellie Lundgreen,228,22:30.1,190,Utah [FR]
Gillian Meeks,229,22:32.2,191,Harvard [SR]
Alice Hill,230,22:34.8,192,Michigan [SO]
Emily Lane,231,22:35.1,193,Furman [JR]
Kristen Garcia,232,22:36.1,194,Wisconsin [SO]
Carissa Dock,233,22:37.2,195,Minnesota [JR]
Melissa Zammitti,234,22:40.6,196,Cornell [JR]
McKenna Keegan,235,22:41.8,197,Villanova [SR]
Audrey Huelskamp,236,22:42.2,198,Cornell [SR]
Nikki Merrill,237,22:42.7,199,Villanova [FR]
Anna Mark-Helwigh,238,22:43.8,200,Villanova [FR]
India Johnson,239,22:45.1,201,Michigan State [JR]
Marissa Flournoy,240,22:46.6,202,Texas [JR]
Bianca Alonzo,241,22:47.6,203,Columbia [SR]
Allie Schadler,242,22:49.4,204,Washington [JR]
Emily Virtue,243,22:53.3,205,Columbia [SO]
Hannah Behunin,244,22:55.9,206,Northern Arizona [JR]
Moira O'Shea,245,22:58.0,207,Oregon [SO]
Katy Storti,246,23:07.2,208,Cornell [FR]
Andrea Demko,247,23:14.5,209,Penn State [FR]
Kathleen Shay,248,23:17.5,210,Ohio State [FR]
Emma Kuntz,249,23:23.1,211,Furman [JR]
